,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
285,현대 더 뉴 아반떼AD 1.6 스타일,차량번호 131로4343,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214833&gubun=K,2019.07 (20년형),"35,634 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km",990만원,57,,,,,,,,,,,등록,2,0,0,0,0,2,"4,340,770",3,"1,434,233"
286,현대 올 뉴 아반떼  1.6 인스퍼레이션  ,차량번호 361다8990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216036&gubun=K,2020.05 (21년형),"40,000 km",가솔린,"1,598 cc (123마력)",회색 (아마존 그레이),"60개월 / 100,000km",[계약],68,무,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
287,현대 올 뉴 아반떼 하이브리드 1.6 HEV 모던,차량번호 191하2930,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210706&gubun=K,2022.01,"43,308 km",가솔린 하이브리드,"1,580 cc (141마력)",기타색상,"60개월 / 100,000km",0원,반납,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
288,현대 아반떼MD 1.6 M16 프리미어,차량번호 63서5467,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214191&gubun=K,2011.12 (12년형),"220,000 km",가솔린,"1,591 cc (140마력)",회색,만료,410만원,22,무,무,무,무,무,유,무,무,무,무,등록,,,,,,,,,
289,현대 더 뉴 아반떼 1.6  스마트,차량번호 63보9234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214149&gubun=K,2015.08 (16년형),"142,304 km",가솔린,"1,591 cc (132마력)",흰색,만료,799만원,44,유,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,6,"9,265,819",5,"3,087,749"
290,현대 올 뉴 아반떼  1.6 스마트  ,차량번호 224두9451,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192989&gubun=K,2020.07 (21년형),"93,000 km",가솔린,"1,598 cc ()",흰색,"60개월 / 100,000km","1,450만원",94,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
291,현대 아반떼 N  2.0 터보 -   ,차량번호 133러9306,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2189616&gubun=K,2022.03,"6,268 km",가솔린,"1,998 cc (280마력)",기타색상,"60개월 / 100,000km","2,950만원",준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
292,현대 뉴 에쿠스 3.8 VS380 프레스티지,차량번호 111소7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217131&gubun=K,2012.04,"173,600 km",가솔린,"3,778 cc (334마력)",검정색,만료,790만원,9,유,무,유,유,유,유,유,유,무,유,등록,6,0,0,0,0,5,"5,864,059",2,"1,313,006"
293,현대 뉴 에쿠스 3.8  VS380 모던,차량번호 14마7187,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217216&gubun=K,2013.05 (14년형),"138,309 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,330만원",준비중,,,,,,,,,,,등록,1,0,0,0,0,4,"5,209,942",0,0
294,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 38무1848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217219&gubun=K,2013.08 (14년형),"171,919 km",가솔린,"3,778 cc (334마력)",흰색,만료,"1,399만원",17,,,,,,,,,,,등록,3,0,0,0,0,5,"5,078,638",4,"3,371,776"
295,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 25러6882,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216888&gubun=K,2014.10 (15년형),"87,244 km",가솔린,"3,778 cc (334마력)",검정색,만료,"2,100만원",27,유,무,무,유,유,유,무,유,무,유,등록,4,0,0,0,0,0,0,0,0
296,현대 뉴 에쿠스  5.0 VS500 프레스티지   ,차량번호 17두3186,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209803&gubun=K,2013.01,"116,999 km",가솔린,"5,038 cc (416마력)",검정색,불가,"1,730만원",15,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
297,현대 뉴 에쿠스  5.0 리무진 VL 500 프레스티지   ,차량번호 179버2270,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215438&gubun=K,2009.10 (10년형),"112,724 km",가솔린,"5,038 cc (400마력)",검정색,불가,"1,090만원",7,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
298,현대 뉴 에쿠스 3.8 VS380 프라임,차량번호 20라9322,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210064&gubun=K,2013.03 (12년형),"220,433 km",가솔린,"3,778 cc (334마력)",검정색,만료,700만원,9,유,무,무,유,유,유,무,유,무,유,등록,2,0,0,0,0,7,"6,765,316",0,0
299,현대 뉴 에쿠스  3.8 VS380 프레스티지 VIP팩Ⅰ,차량번호 64주9381,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217066&gubun=K,2010.10 (11년형),"237,634 km",가솔린,"3,778 cc (290마력)",검정색,만료,575만원,6,무,무,유,유,유,유,유,유,무,유,등록,9,0,0,0,0,2,"3,053,929",0,0
300,현대 뉴 에쿠스  3.8 VS380 럭셔리,차량번호 18나4735,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212189&gubun=K,2009.07 (10년형),"184,894 km",가솔린,"3,778 cc (290마력)",검정색,만료,545만원,8,유,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,4,"8,834,432",2,"1,176,080"
301,현대 뉴 에쿠스 3.8  VS380 럭셔리,차량번호 50루7677,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216195&gubun=K,2009.12 (10년형),"280,931 km",가솔린,"3,778 cc (290마력)",검정색,만료,420만원,6,,,,,,,,,,,등록,0,0,0,0,0,8,"6,034,314",8,"7,118,688"
302,현대 뉴 에쿠스 3.8 리무진  VL 380 프레스티지,차량번호 03저4341,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215142&gubun=K,2010.05,"215,232 km",가솔린/LPG겸용,"3,778 cc (290마력)",검정색,만료,"1,240만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,5,0,0,0,0,1,"2,481,903",0,0
303,현대 뉴 에쿠스  3.8 VS380 프리미엄  ,차량번호 50소8200,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213889&gubun=K,2013.05 (14년형),"128,000 km",가솔린,"3,778 cc (334마력)",검정색,불가,"1,460만원",18,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
304,현대 뉴 에쿠스 3.8 VS380 프라임,차량번호 26버3670,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214036&gubun=K,2011.06 (12년형),"320,000 km",가솔린,"3,778 cc (334마력)",검정색,만료,550만원,7,유,무,무,유,유,유,무,유,무,유,등록,,,,,,,,,
305,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 23모1533,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215692&gubun=K,2013.08 (14년형),"221,527 km",가솔린,"3,778 cc (334마력)",검정색,만료,950만원,12,무,무,유,유,유,유,무,유,무,유,등록,6,0,0,0,0,4,"5,061,378",2,"3,167,640"
306,현대 뉴 에쿠스 4.6  VS460 프레스티지,차량번호 28수6811,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216749&gubun=K,2009.06 (10년형),"276,852 km",가솔린,"4,627 cc (366마력)",검정색,만료,330만원,3,,,,,,,,,,,등록,3,0,0,0,0,7,"11,833,381",7,"4,490,050"
307,현대 뉴 에쿠스 3.8 VS380 익스클루시브,차량번호 183부3641,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216452&gubun=K,2014.01,"160,100 km",가솔린,"3,778 cc (334마력)",은색,불가,"1,300만원",14,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
308,현대 뉴 에쿠스 3.8  VS380 프라임,차량번호 62다2552,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215457&gubun=K,2012.07,"65,000 km",가솔린,"3,778 cc (334마력)",흰색,만료,"1,500만원",19,유,무,무,유,유,유,무,유,무,유,등록,,,,,,,,,
309,현대 뉴 에쿠스  3.8 리무진 VL 380 프레스티지   ,차량번호 63구7378,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214532&gubun=K,2012.08,"76,000 km",가솔린,"3,778 cc (334마력)",검정색,불가,"1,900만원",14,무,무,유,유,유,유,유,유,무,유,등록,,,,,,,,,
310,현대 뉴 에쿠스 3.8 VS380 프레스티지,차량번호 111소7489,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217131&gubun=K,2012.04,"173,600 km",가솔린,"3,778 cc (334마력)",검정색,만료,790만원,9,유,무,유,유,유,유,유,유,무,유,등록,6,0,0,0,0,5,"5,864,059",2,"1,313,006"
311,현대 뉴 에쿠스 3.8  VS380 모던,차량번호 14마7187,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217216&gubun=K,2013.05 (14년형),"138,309 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,330만원",준비중,,,,,,,,,,,등록,1,0,0,0,0,4,"5,209,942",0,0
312,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 38무1848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217219&gubun=K,2013.08 (14년형),"171,919 km",가솔린,"3,778 cc (334마력)",흰색,만료,"1,399만원",17,,,,,,,,,,,등록,3,0,0,0,0,5,"5,078,638",4,"3,371,776"
313,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 25러6882,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216888&gubun=K,2014.10 (15년형),"87,244 km",가솔린,"3,778 cc (334마력)",검정색,만료,"2,100만원",27,유,무,무,유,유,유,무,유,무,유,등록,4,0,0,0,0,0,0,0,0
314,현대 뉴 에쿠스  5.0 VS500 프레스티지   ,차량번호 17두3186,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209803&gubun=K,2013.01,"116,999 km",가솔린,"5,038 cc (416마력)",검정색,불가,"1,730만원",15,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
315,현대 뉴 에쿠스  5.0 리무진 VL 500 프레스티지   ,차량번호 179버2270,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215438&gubun=K,2009.10 (10년형),"112,724 km",가솔린,"5,038 cc (400마력)",검정색,불가,"1,090만원",7,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
316,현대 뉴 에쿠스 3.8 VS380 프라임,차량번호 20라9322,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210064&gubun=K,2013.03 (12년형),"220,433 km",가솔린,"3,778 cc (334마력)",검정색,만료,700만원,9,유,무,무,유,유,유,무,유,무,유,등록,2,0,0,0,0,7,"6,765,316",0,0
317,현대 뉴 에쿠스  3.8 VS380 프레스티지 VIP팩Ⅰ,차량번호 64주9381,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217066&gubun=K,2010.10 (11년형),"237,634 km",가솔린,"3,778 cc (290마력)",검정색,만료,575만원,6,무,무,유,유,유,유,유,유,무,유,등록,9,0,0,0,0,2,"3,053,929",0,0
318,현대 뉴 에쿠스  3.8 VS380 럭셔리,차량번호 18나4735,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212189&gubun=K,2009.07 (10년형),"184,894 km",가솔린,"3,778 cc (290마력)",검정색,만료,545만원,8,유,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,4,"8,834,432",2,"1,176,080"
319,현대 뉴 에쿠스 3.8  VS380 럭셔리,차량번호 50루7677,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216195&gubun=K,2009.12 (10년형),"280,931 km",가솔린,"3,778 cc (290마력)",검정색,만료,420만원,6,,,,,,,,,,,등록,0,0,0,0,0,8,"6,034,314",8,"7,118,688"
320,현대 뉴 에쿠스 3.8 리무진  VL 380 프레스티지,차량번호 03저4341,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215142&gubun=K,2010.05,"215,232 km",가솔린/LPG겸용,"3,778 cc (290마력)",검정색,만료,"1,240만원",준비중,무,무,무,무,무,무,무,무,무,무,등록,5,0,0,0,0,1,"2,481,903",0,0
321,현대 뉴 에쿠스  3.8 VS380 프리미엄  ,차량번호 50소8200,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213889&gubun=K,2013.05 (14년형),"128,000 km",가솔린,"3,778 cc (334마력)",검정색,불가,"1,460만원",18,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
322,현대 뉴 에쿠스 3.8 VS380 프라임,차량번호 26버3670,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214036&gubun=K,2011.06 (12년형),"320,000 km",가솔린,"3,778 cc (334마력)",검정색,만료,550만원,7,유,무,무,유,유,유,무,유,무,유,등록,,,,,,,,,
323,현대 뉴 에쿠스 3.8  VS380 프리미엄,차량번호 23모1533,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215692&gubun=K,2013.08 (14년형),"221,527 km",가솔린,"3,778 cc (334마력)",검정색,만료,950만원,12,무,무,유,유,유,유,무,유,무,유,등록,6,0,0,0,0,4,"5,061,378",2,"3,167,640"
324,현대 뉴 에쿠스 4.6  VS460 프레스티지,차량번호 28수6811,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216749&gubun=K,2009.06 (10년형),"276,852 km",가솔린,"4,627 cc (366마력)",검정색,만료,330만원,3,,,,,,,,,,,등록,3,0,0,0,0,7,"11,833,381",7,"4,490,050"
325,현대 뉴 에쿠스 3.8 VS380 익스클루시브,차량번호 183부3641,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216452&gubun=K,2014.01,"160,100 km",가솔린,"3,778 cc (334마력)",은색,불가,"1,300만원",14,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
326,현대 뉴 에쿠스 3.8  VS380 프라임,차량번호 62다2552,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215457&gubun=K,2012.07,"65,000 km",가솔린,"3,778 cc (334마력)",흰색,만료,"1,500만원",19,유,무,무,유,유,유,무,유,무,유,등록,,,,,,,,,
327,현대 뉴 에쿠스  3.8 리무진 VL 380 프레스티지   ,차량번호 63구7378,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214532&gubun=K,2012.08,"76,000 km",가솔린,"3,778 cc (334마력)",검정색,불가,"1,900만원",14,무,무,유,유,유,유,유,유,무,유,등록,,,,,,,,,
328,현대 포터2 CRDi 더블캡 초장축 골드 최고급형,차량번호 87모5603,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213936&gubun=K,2019.04,"123,800 km",디젤,"2,497 cc ()",흰색,정보없음,"1,300만원",준비중,무,무,유,무,무,유,유,무,무,무,등록,,,,,,,,,
329,현대 포터2 내장탑차,차량번호 809고3905,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214159&gubun=K,2017.01,"102,092 km",디젤,"2,497 cc ()",흰색,정보없음,950만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,3,0,0,0,0,0,0,0,0
330,현대 포터2  내장탑차,차량번호 814소2645,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215925&gubun=K,2021.08 (22년형),"55,580 km",디젤,"2,497 cc ()",흰색,정보없음,"1,880만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,2,0,0,0,0,0,0,2,"3,146,740"
331,현대 포터2  파워게이트 - ,차량번호 83소8592,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216027&gubun=K,2014.11 (15년형),"242,484 km",디젤,"2,497 cc ()",흰색,불가,599만원,준비중,무,무,무,무,무,무,무,무,무,무,미등록,,,,,,,,,
332,현대 포터2 냉동탑차,차량번호 804버1147,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2206125&gubun=K,2019.06,"44,457 km",디젤,"2,497 cc ()",흰색,만료,"1,900만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,4,0,0,0,0,0,0,0,0
333,현대 포터2 CRDi 슈퍼캡 초장축 하이-SUP 기본형,차량번호 81러9700,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214459&gubun=K,2015.10 (16년형),"260,346 km",디젤,"2,497 cc ()",흰색,정보없음,700만원,준비중,무,무,유,무,무,유,무,유,무,무,등록,7,0,0,0,0,0,0,4,"4,974,390"
334,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 88조5460,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2206707&gubun=K,2020.06,"177,324 km",디젤,"2,497 cc ()",진청색,정보없음,"1,200만원",준비중,,,,,,,,,,,등록,0,0,0,0,0,0,0,1,"2,407,189"
335,현대 포터2  CRDi 슈퍼캡 고급형,차량번호 87보3398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213811&gubun=K,2010.08 (11년형),"80,891 km",디젤,"2,497 cc (133마력)",청색,정보없음,425만원,준비중,,,,,,,,,,,등록,7,0,0,0,0,1,"2,060,506",3,"11,877,718"
336,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 86도9838,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215268&gubun=K,2015.08 (16년형),"134,946 km",디젤,"2,497 cc ()",청색,정보없음,650만원,준비중,,,,,,,,,,,등록,3,0,0,0,0,1,"5,060,021",5,"7,499,695"
337,현대 포터2 CRDi 더블캡 초장축 SUP 고급형,차량번호 82라1303,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212826&gubun=K,2015.07 (16년형),"76,916 km",디젤,"2,497 cc ()",흰색,만료,680만원,준비중,,,,,,,,,,,등록,4,0,0,0,0,1,"1,053,921",2,"1,405,238"
338,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 95머8599,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215267&gubun=K,2013.12 (14년형),"213,116 km",디젤,"2,497 cc ()",청색,정보없음,490만원,준비중,,,,,,,,,,,등록,3,0,0,0,0,0,0,3,"1,843,772"
339,현대 포터2 CRDi 더블캡  초장축 SUP 기본형,차량번호 83로7505,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210866&gubun=K,2013.06 (14년형),"88,320 km",디젤,"2,497 cc ()",흰색,만료,570만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,1,0,0,0,0,2,"15,762,018",3,"14,532,000"
340,현대 포터2 CRDi 더블캡  초장축 SUP 고급형,차량번호 82보9457,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216535&gubun=K,2015.05 (16년형),"109,395 km",디젤,"2,497 cc ()",청색,만료,760만원,준비중,,,,,,,,,,,등록,4,0,0,0,0,0,0,1,"735,438"
341,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 83고7723,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216533&gubun=K,2015.02,"178,309 km",디젤,"2,497 cc ()",흰색,정보없음,570만원,준비중,,,,,,,,,,,등록,2,0,0,0,0,1,"1,151,400",3,"9,151,180"
342,현대 포터2 CRDi 슈퍼캡  초장축 SUP 일반형,차량번호 83너2601,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216534&gubun=K,2014.09 (15년형),"100,810 km",디젤,"2,497 cc ()",청색,정보없음,660만원,준비중,,,,,,,,,,,등록,1,0,0,0,0,2,"2,185,154",2,"2,244,223"
343,현대 포터2 슈퍼캡 냉장탑차 ,차량번호 92저8228,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217054&gubun=K,2016.06 (17년형),"63,947 km",디젤,"2,497 cc ()",흰색,정보없음,720만원,준비중,,,,,,,,,,,등록,1,0,0,0,0,1,"1,970,552",2,"2,402,328"
344,현대 포터2 내장탑차,차량번호 820소3567,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216532&gubun=K,2020.03,"68,305 km",디젤,"2,497 cc ()",흰색,정보없음,"1,799만원",준비중,,,,,,,,,,,등록,2,0,0,0,0,1,"1,025,475",0,0
345,현대 포터2 시티밴 ,차량번호 97노6596,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214949&gubun=K,2021.03,"44,862 km",디젤,"2,497 cc ()",흰색,정보없음,"2,450만원",준비중,무,무,무,무,무,유,무,유,무,무,등록,1,0,0,0,0,1,"1,375,200",2,"1,311,500"
346,현대 포터2 CRDi 슈퍼캡  초장축 스마트,차량번호 84다0601,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216961&gubun=K,2019.04,"37,233 km",디젤,"2,497 cc ()",흰색,정보없음,"1,580만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,1,0,0,0,0,1,"632,018",1,"1,418,943"
347,현대 포터2 CRDi 더블캡 초장축 스마트,차량번호 96조6647,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216959&gubun=K,2021.10 (22년형),"15,692 km",디젤,"2,497 cc ()",흰색,정보없음,"1,950만원",준비중,무,무,무,무,무,유,무,유,무,무,등록,1,0,0,0,0,0,0,1,"1,148,250"
348,현대 포터2 CRDi 더블캡 초장축 골드 최고급형,차량번호 87모5603,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213936&gubun=K,2019.04,"123,800 km",디젤,"2,497 cc ()",흰색,정보없음,"1,300만원",준비중,무,무,유,무,무,유,유,무,무,무,등록,,,,,,,,,
349,현대 포터2 내장탑차,차량번호 809고3905,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214159&gubun=K,2017.01,"102,092 km",디젤,"2,497 cc ()",흰색,정보없음,950만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,3,0,0,0,0,0,0,0,0
350,현대 포터2  내장탑차,차량번호 814소2645,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215925&gubun=K,2021.08 (22년형),"55,580 km",디젤,"2,497 cc ()",흰색,정보없음,"1,880만원",준비중,무,무,유,무,무,유,무,유,무,무,등록,2,0,0,0,0,0,0,2,"3,146,740"
351,현대 포터2  파워게이트 - ,차량번호 83소8592,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216027&gubun=K,2014.11 (15년형),"242,484 km",디젤,"2,497 cc ()",흰색,불가,599만원,준비중,무,무,무,무,무,무,무,무,무,무,미등록,,,,,,,,,
